topology,routing,traffic,load,rep,outfile
megafly_16,dragonfly_min,bit_reversal,0.9,2,results/megafly_16_dragonfly_min_bit_reversal_load0.9_rep2
megafly_16,dragonfly_min,bit_reversal,0.9,3,results/megafly_16_dragonfly_min_bit_reversal_load0.9_rep3
slimfly_4,dragonfly_min,uniform,0.1,1,results/slimfly_4_dragonfly_min_uniform_load0.1_rep1
slimfly_4,dragonfly_min,uniform,0.1,2,results/slimfly_4_dragonfly_min_uniform_load0.1_rep2
slimfly_4,dragonfly_min,uniform,0.1,3,results/slimfly_4_dragonfly_min_uniform_load0.1_rep3
slimfly_4,dragonfly_min,uniform,0.3,1,results/slimfly_4_dragonfly_min_uniform_load0.3_rep1
slimfly_4,dragonfly_min,uniform,0.3,2,results/slimfly_4_dragonfly_min_uniform_load0.3_rep2
slimfly_4,dragonfly_min,uniform,0.3,3,results/slimfly_4_dragonfly_min_uniform_load0.3_rep3
slimfly_4,dragonfly_min,uniform,0.5,1,results/slimfly_4_dragonfly_min_uniform_load0.5_rep1
slimfly_4,dragonfly_min,uniform,0.5,2,results/slimfly_4_dragonfly_min_uniform_load0.5_rep2
slimfly_4,dragonfly_min,uniform,0.5,3,results/slimfly_4_dragonfly_min_uniform_load0.5_rep3
slimfly_4,dragonfly_min,uniform,0.7,1,results/slimfly_4_dragonfly_min_uniform_load0.7_rep1
slimfly_4,dragonfly_min,uniform,0.7,2,results/slimfly_4_dragonfly_min_uniform_load0.7_rep2
slimfly_4,dragonfly_min,uniform,0.7,3,results/slimfly_4_dragonfly_min_uniform_load0.7_rep3
slimfly_4,dragonfly_min,uniform,0.9,1,results/slimfly_4_dragonfly_min_uniform_load0.9_rep1
slimfly_4,dragonfly_min,uniform,0.9,2,results/slimfly_4_dragonfly_min_uniform_load0.9_rep2
slimfly_4,dragonfly_min,uniform,0.9,3,results/slimfly_4_dragonfly_min_uniform_load0.9_rep3
slimfly_4,dragonfly_min,hotspot,0.1,1,results/slimfly_4_dragonfly_min_hotspot_load0.1_rep1
slimfly_4,dragonfly_min,hotspot,0.1,2,results/slimfly_4_dragonfly_min_hotspot_load0.1_rep2
slimfly_4,dragonfly_min,hotspot,0.1,3,results/slimfly_4_dragonfly_min_hotspot_load0.1_rep3
slimfly_4,dragonfly_min,hotspot,0.3,1,results/slimfly_4_dragonfly_min_hotspot_load0.3_rep1
slimfly_4,dragonfly_min,hotspot,0.3,2,results/slimfly_4_dragonfly_min_hotspot_load0.3_rep2
slimfly_4,dragonfly_min,hotspot,0.3,3,results/slimfly_4_dragonfly_min_hotspot_load0.3_rep3
slimfly_4,dragonfly_min,hotspot,0.5,1,results/slimfly_4_dragonfly_min_hotspot_load0.5_rep1
slimfly_4,dragonfly_min,hotspot,0.5,2,results/slimfly_4_dragonfly_min_hotspot_load0.5_rep2
slimfly_4,dragonfly_min,hotspot,0.5,3,results/slimfly_4_dragonfly_min_hotspot_load0.5_rep3
slimfly_4,dragonfly_min,hotspot,0.7,1,results/slimfly_4_dragonfly_min_hotspot_load0.7_rep1
slimfly_4,dragonfly_min,hotspot,0.7,2,results/slimfly_4_dragonfly_min_hotspot_load0.7_rep2
slimfly_4,dragonfly_min,hotspot,0.7,3,results/slimfly_4_dragonfly_min_hotspot_load0.7_rep3
slimfly_4,dragonfly_min,hotspot,0.9,1,results/slimfly_4_dragonfly_min_hotspot_load0.9_rep1
slimfly_4,dragonfly_min,hotspot,0.9,2,results/slimfly_4_dragonfly_min_hotspot_load0.9_rep2
slimfly_4,dragonfly_min,hotspot,0.9,3,results/slimfly_4_dragonfly_min_hotspot_load0.9_rep3
slimfly_4,dragonfly_min,bisection,0.1,1,results/slimfly_4_dragonfly_min_bisection_load0.1_rep1
slimfly_4,dragonfly_min,bisection,0.1,2,results/slimfly_4_dragonfly_min_bisection_load0.1_rep2
slimfly_4,dragonfly_min,bisection,0.1,3,results/slimfly_4_dragonfly_min_bisection_load0.1_rep3
slimfly_4,dragonfly_min,bisection,0.3,1,results/slimfly_4_dragonfly_min_bisection_load0.3_rep1
slimfly_4,dragonfly_min,bisection,0.3,2,results/slimfly_4_dragonfly_min_bisection_load0.3_rep2
slimfly_4,dragonfly_min,bisection,0.3,3,results/slimfly_4_dragonfly_min_bisection_load0.3_rep3
slimfly_4,dragonfly_min,bisection,0.5,1,results/slimfly_4_dragonfly_min_bisection_load0.5_rep1
slimfly_4,dragonfly_min,bisection,0.5,2,results/slimfly_4_dragonfly_min_bisection_load0.5_rep2
slimfly_4,dragonfly_min,bisection,0.5,3,results/slimfly_4_dragonfly_min_bisection_load0.5_rep3
slimfly_4,dragonfly_min,bisection,0.7,1,results/slimfly_4_dragonfly_min_bisection_load0.7_rep1
slimfly_4,dragonfly_min,bisection,0.7,2,results/slimfly_4_dragonfly_min_bisection_load0.7_rep2
slimfly_4,dragonfly_min,bisection,0.7,3,results/slimfly_4_dragonfly_min_bisection_load0.7_rep3
slimfly_4,dragonfly_min,bisection,0.9,1,results/slimfly_4_dragonfly_min_bisection_load0.9_rep1
slimfly_4,dragonfly_min,bisection,0.9,2,results/slimfly_4_dragonfly_min_bisection_load0.9_rep2
slimfly_4,dragonfly_min,bisection,0.9,3,results/slimfly_4_dragonfly_min_bisection_load0.9_rep3
slimfly_4,dragonfly_min,all2all,0.1,1,results/slimfly_4_dragonfly_min_all2all_load0.1_rep1
slimfly_4,dragonfly_min,all2all,0.1,2,results/slimfly_4_dragonfly_min_all2all_load0.1_rep2
slimfly_4,dragonfly_min,all2all,0.1,3,results/slimfly_4_dragonfly_min_all2all_load0.1_rep3
slimfly_4,dragonfly_min,all2all,0.3,1,results/slimfly_4_dragonfly_min_all2all_load0.3_rep1
slimfly_4,dragonfly_min,all2all,0.3,2,results/slimfly_4_dragonfly_min_all2all_load0.3_rep2
slimfly_4,dragonfly_min,all2all,0.3,3,results/slimfly_4_dragonfly_min_all2all_load0.3_rep3
slimfly_4,dragonfly_min,all2all,0.5,1,results/slimfly_4_dragonfly_min_all2all_load0.5_rep1
slimfly_4,dragonfly_min,all2all,0.5,2,results/slimfly_4_dragonfly_min_all2all_load0.5_rep2
slimfly_4,dragonfly_min,all2all,0.5,3,results/slimfly_4_dragonfly_min_all2all_load0.5_rep3
slimfly_4,dragonfly_min,all2all,0.7,1,results/slimfly_4_dragonfly_min_all2all_load0.7_rep1
slimfly_4,dragonfly_min,all2all,0.7,2,results/slimfly_4_dragonfly_min_all2all_load0.7_rep2
slimfly_4,dragonfly_min,all2all,0.7,3,results/slimfly_4_dragonfly_min_all2all_load0.7_rep3
slimfly_4,dragonfly_min,all2all,0.9,1,results/slimfly_4_dragonfly_min_all2all_load0.9_rep1
slimfly_4,dragonfly_min,all2all,0.9,2,results/slimfly_4_dragonfly_min_all2all_load0.9_rep2
slimfly_4,dragonfly_min,all2all,0.9,3,results/slimfly_4_dragonfly_min_all2all_load0.9_rep3
slimfly_4,dragonfly_min,bit_reversal,0.1,1,results/slimfly_4_dragonfly_min_bit_reversal_load0.1_rep1
slimfly_4,dragonfly_min,bit_reversal,0.1,2,results/slimfly_4_dragonfly_min_bit_reversal_load0.1_rep2
slimfly_4,dragonfly_min,bit_reversal,0.1,3,results/slimfly_4_dragonfly_min_bit_reversal_load0.1_rep3
slimfly_4,dragonfly_min,bit_reversal,0.3,1,results/slimfly_4_dragonfly_min_bit_reversal_load0.3_rep1
slimfly_4,dragonfly_min,bit_reversal,0.3,2,results/slimfly_4_dragonfly_min_bit_reversal_load0.3_rep2
slimfly_4,dragonfly_min,bit_reversal,0.3,3,results/slimfly_4_dragonfly_min_bit_reversal_load0.3_rep3
slimfly_4,dragonfly_min,bit_reversal,0.5,1,results/slimfly_4_dragonfly_min_bit_reversal_load0.5_rep1
slimfly_4,dragonfly_min,bit_reversal,0.5,2,results/slimfly_4_dragonfly_min_bit_reversal_load0.5_rep2
slimfly_4,dragonfly_min,bit_reversal,0.5,3,results/slimfly_4_dragonfly_min_bit_reversal_load0.5_rep3
slimfly_4,dragonfly_min,bit_reversal,0.7,1,results/slimfly_4_dragonfly_min_bit_reversal_load0.7_rep1
slimfly_4,dragonfly_min,bit_reversal,0.7,2,results/slimfly_4_dragonfly_min_bit_reversal_load0.7_rep2
slimfly_4,dragonfly_min,bit_reversal,0.7,3,results/slimfly_4_dragonfly_min_bit_reversal_load0.7_rep3
slimfly_4,dragonfly_min,bit_reversal,0.9,1,results/slimfly_4_dragonfly_min_bit_reversal_load0.9_rep1
slimfly_4,dragonfly_min,bit_reversal,0.9,2,results/slimfly_4_dragonfly_min_bit_reversal_load0.9_rep2
slimfly_4,dragonfly_min,bit_reversal,0.9,3,results/slimfly_4_dragonfly_min_bit_reversal_load0.9_rep3
slimfly_5,dragonfly_min,uniform,0.1,1,results/slimfly_5_dragonfly_min_uniform_load0.1_rep1
slimfly_5,dragonfly_min,uniform,0.1,2,results/slimfly_5_dragonfly_min_uniform_load0.1_rep2
slimfly_5,dragonfly_min,uniform,0.1,3,results/slimfly_5_dragonfly_min_uniform_load0.1_rep3
slimfly_5,dragonfly_min,uniform,0.3,1,results/slimfly_5_dragonfly_min_uniform_load0.3_rep1
slimfly_5,dragonfly_min,uniform,0.3,2,results/slimfly_5_dragonfly_min_uniform_load0.3_rep2
slimfly_5,dragonfly_min,uniform,0.3,3,results/slimfly_5_dragonfly_min_uniform_load0.3_rep3
slimfly_5,dragonfly_min,uniform,0.5,1,results/slimfly_5_dragonfly_min_uniform_load0.5_rep1
slimfly_5,dragonfly_min,uniform,0.5,2,results/slimfly_5_dragonfly_min_uniform_load0.5_rep2
slimfly_5,dragonfly_min,uniform,0.5,3,results/slimfly_5_dragonfly_min_uniform_load0.5_rep3
slimfly_5,dragonfly_min,uniform,0.7,1,results/slimfly_5_dragonfly_min_uniform_load0.7_rep1
slimfly_5,dragonfly_min,uniform,0.7,2,results/slimfly_5_dragonfly_min_uniform_load0.7_rep2
slimfly_5,dragonfly_min,uniform,0.7,3,results/slimfly_5_dragonfly_min_uniform_load0.7_rep3
slimfly_5,dragonfly_min,uniform,0.9,1,results/slimfly_5_dragonfly_min_uniform_load0.9_rep1
slimfly_5,dragonfly_min,uniform,0.9,2,results/slimfly_5_dragonfly_min_uniform_load0.9_rep2
slimfly_5,dragonfly_min,uniform,0.9,3,results/slimfly_5_dragonfly_min_uniform_load0.9_rep3
slimfly_5,dragonfly_min,hotspot,0.1,1,results/slimfly_5_dragonfly_min_hotspot_load0.1_rep1
slimfly_5,dragonfly_min,hotspot,0.1,2,results/slimfly_5_dragonfly_min_hotspot_load0.1_rep2
slimfly_5,dragonfly_min,hotspot,0.1,3,results/slimfly_5_dragonfly_min_hotspot_load0.1_rep3
slimfly_5,dragonfly_min,hotspot,0.3,1,results/slimfly_5_dragonfly_min_hotspot_load0.3_rep1
slimfly_5,dragonfly_min,hotspot,0.3,2,results/slimfly_5_dragonfly_min_hotspot_load0.3_rep2
slimfly_5,dragonfly_min,hotspot,0.3,3,results/slimfly_5_dragonfly_min_hotspot_load0.3_rep3
slimfly_5,dragonfly_min,hotspot,0.5,1,results/slimfly_5_dragonfly_min_hotspot_load0.5_rep1
slimfly_5,dragonfly_min,hotspot,0.5,2,results/slimfly_5_dragonfly_min_hotspot_load0.5_rep2
slimfly_5,dragonfly_min,hotspot,0.5,3,results/slimfly_5_dragonfly_min_hotspot_load0.5_rep3
slimfly_5,dragonfly_min,hotspot,0.7,1,results/slimfly_5_dragonfly_min_hotspot_load0.7_rep1
slimfly_5,dragonfly_min,hotspot,0.7,2,results/slimfly_5_dragonfly_min_hotspot_load0.7_rep2
slimfly_5,dragonfly_min,hotspot,0.7,3,results/slimfly_5_dragonfly_min_hotspot_load0.7_rep3
slimfly_5,dragonfly_min,hotspot,0.9,1,results/slimfly_5_dragonfly_min_hotspot_load0.9_rep1
slimfly_5,dragonfly_min,hotspot,0.9,2,results/slimfly_5_dragonfly_min_hotspot_load0.9_rep2
slimfly_5,dragonfly_min,hotspot,0.9,3,results/slimfly_5_dragonfly_min_hotspot_load0.9_rep3
slimfly_5,dragonfly_min,bisection,0.1,1,results/slimfly_5_dragonfly_min_bisection_load0.1_rep1
slimfly_5,dragonfly_min,bisection,0.1,2,results/slimfly_5_dragonfly_min_bisection_load0.1_rep2
slimfly_5,dragonfly_min,bisection,0.1,3,results/slimfly_5_dragonfly_min_bisection_load0.1_rep3
slimfly_5,dragonfly_min,bisection,0.3,1,results/slimfly_5_dragonfly_min_bisection_load0.3_rep1
slimfly_5,dragonfly_min,bisection,0.3,2,results/slimfly_5_dragonfly_min_bisection_load0.3_rep2
slimfly_5,dragonfly_min,bisection,0.3,3,results/slimfly_5_dragonfly_min_bisection_load0.3_rep3
slimfly_5,dragonfly_min,bisection,0.5,1,results/slimfly_5_dragonfly_min_bisection_load0.5_rep1
slimfly_5,dragonfly_min,bisection,0.5,2,results/slimfly_5_dragonfly_min_bisection_load0.5_rep2
slimfly_5,dragonfly_min,bisection,0.5,3,results/slimfly_5_dragonfly_min_bisection_load0.5_rep3
slimfly_5,dragonfly_min,bisection,0.7,1,results/slimfly_5_dragonfly_min_bisection_load0.7_rep1
slimfly_5,dragonfly_min,bisection,0.7,2,results/slimfly_5_dragonfly_min_bisection_load0.7_rep2
slimfly_5,dragonfly_min,bisection,0.7,3,results/slimfly_5_dragonfly_min_bisection_load0.7_rep3
slimfly_5,dragonfly_min,bisection,0.9,1,results/slimfly_5_dragonfly_min_bisection_load0.9_rep1
slimfly_5,dragonfly_min,bisection,0.9,2,results/slimfly_5_dragonfly_min_bisection_load0.9_rep2
slimfly_5,dragonfly_min,bisection,0.9,3,results/slimfly_5_dragonfly_min_bisection_load0.9_rep3
slimfly_5,dragonfly_min,all2all,0.1,1,results/slimfly_5_dragonfly_min_all2all_load0.1_rep1
slimfly_5,dragonfly_min,all2all,0.1,2,results/slimfly_5_dragonfly_min_all2all_load0.1_rep2
slimfly_5,dragonfly_min,all2all,0.1,3,results/slimfly_5_dragonfly_min_all2all_load0.1_rep3
slimfly_5,dragonfly_min,all2all,0.3,1,results/slimfly_5_dragonfly_min_all2all_load0.3_rep1
slimfly_5,dragonfly_min,all2all,0.3,2,results/slimfly_5_dragonfly_min_all2all_load0.3_rep2
slimfly_5,dragonfly_min,all2all,0.3,3,results/slimfly_5_dragonfly_min_all2all_load0.3_rep3
slimfly_5,dragonfly_min,all2all,0.5,1,results/slimfly_5_dragonfly_min_all2all_load0.5_rep1
slimfly_5,dragonfly_min,all2all,0.5,2,results/slimfly_5_dragonfly_min_all2all_load0.5_rep2
slimfly_5,dragonfly_min,all2all,0.5,3,results/slimfly_5_dragonfly_min_all2all_load0.5_rep3
slimfly_5,dragonfly_min,all2all,0.7,1,results/slimfly_5_dragonfly_min_all2all_load0.7_rep1
slimfly_5,dragonfly_min,all2all,0.7,2,results/slimfly_5_dragonfly_min_all2all_load0.7_rep2
slimfly_5,dragonfly_min,all2all,0.7,3,results/slimfly_5_dragonfly_min_all2all_load0.7_rep3
slimfly_5,dragonfly_min,all2all,0.9,1,results/slimfly_5_dragonfly_min_all2all_load0.9_rep1
slimfly_5,dragonfly_min,all2all,0.9,2,results/slimfly_5_dragonfly_min_all2all_load0.9_rep2
slimfly_5,dragonfly_min,all2all,0.9,3,results/slimfly_5_dragonfly_min_all2all_load0.9_rep3
slimfly_5,dragonfly_min,bit_reversal,0.1,1,results/slimfly_5_dragonfly_min_bit_reversal_load0.1_rep1
slimfly_5,dragonfly_min,bit_reversal,0.1,2,results/slimfly_5_dragonfly_min_bit_reversal_load0.1_rep2
slimfly_5,dragonfly_min,bit_reversal,0.1,3,results/slimfly_5_dragonfly_min_bit_reversal_load0.1_rep3
slimfly_5,dragonfly_min,bit_reversal,0.3,1,results/slimfly_5_dragonfly_min_bit_reversal_load0.3_rep1
slimfly_5,dragonfly_min,bit_reversal,0.3,2,results/slimfly_5_dragonfly_min_bit_reversal_load0.3_rep2
slimfly_5,dragonfly_min,bit_reversal,0.3,3,results/slimfly_5_dragonfly_min_bit_reversal_load0.3_rep3
slimfly_5,dragonfly_min,bit_reversal,0.5,1,results/slimfly_5_dragonfly_min_bit_reversal_load0.5_rep1
slimfly_5,dragonfly_min,bit_reversal,0.5,2,results/slimfly_5_dragonfly_min_bit_reversal_load0.5_rep2
slimfly_5,dragonfly_min,bit_reversal,0.5,3,results/slimfly_5_dragonfly_min_bit_reversal_load0.5_rep3
slimfly_5,dragonfly_min,bit_reversal,0.7,1,results/slimfly_5_dragonfly_min_bit_reversal_load0.7_rep1
slimfly_5,dragonfly_min,bit_reversal,0.7,2,results/slimfly_5_dragonfly_min_bit_reversal_load0.7_rep2
slimfly_5,dragonfly_min,bit_reversal,0.7,3,results/slimfly_5_dragonfly_min_bit_reversal_load0.7_rep3
slimfly_5,dragonfly_min,bit_reversal,0.9,1,results/slimfly_5_dragonfly_min_bit_reversal_load0.9_rep1
slimfly_5,dragonfly_min,bit_reversal,0.9,2,results/slimfly_5_dragonfly_min_bit_reversal_load0.9_rep2
slimfly_5,dragonfly_min,bit_reversal,0.9,3,results/slimfly_5_dragonfly_min_bit_reversal_load0.9_rep3
slimfly_7,dragonfly_min,uniform,0.1,1,results/slimfly_7_dragonfly_min_uniform_load0.1_rep1
slimfly_7,dragonfly_min,uniform,0.1,2,results/slimfly_7_dragonfly_min_uniform_load0.1_rep2
slimfly_7,dragonfly_min,uniform,0.1,3,results/slimfly_7_dragonfly_min_uniform_load0.1_rep3
slimfly_7,dragonfly_min,uniform,0.3,1,results/slimfly_7_dragonfly_min_uniform_load0.3_rep1
slimfly_7,dragonfly_min,uniform,0.3,2,results/slimfly_7_dragonfly_min_uniform_load0.3_rep2
slimfly_7,dragonfly_min,uniform,0.3,3,results/slimfly_7_dragonfly_min_uniform_load0.3_rep3
slimfly_7,dragonfly_min,uniform,0.5,1,results/slimfly_7_dragonfly_min_uniform_load0.5_rep1
slimfly_7,dragonfly_min,uniform,0.5,2,results/slimfly_7_dragonfly_min_uniform_load0.5_rep2
slimfly_7,dragonfly_min,uniform,0.5,3,results/slimfly_7_dragonfly_min_uniform_load0.5_rep3
slimfly_7,dragonfly_min,uniform,0.7,1,results/slimfly_7_dragonfly_min_uniform_load0.7_rep1
slimfly_7,dragonfly_min,uniform,0.7,2,results/slimfly_7_dragonfly_min_uniform_load0.7_rep2
slimfly_7,dragonfly_min,uniform,0.7,3,results/slimfly_7_dragonfly_min_uniform_load0.7_rep3
slimfly_7,dragonfly_min,uniform,0.9,1,results/slimfly_7_dragonfly_min_uniform_load0.9_rep1
slimfly_7,dragonfly_min,uniform,0.9,2,results/slimfly_7_dragonfly_min_uniform_load0.9_rep2
slimfly_7,dragonfly_min,uniform,0.9,3,results/slimfly_7_dragonfly_min_uniform_load0.9_rep3
slimfly_7,dragonfly_min,hotspot,0.1,1,results/slimfly_7_dragonfly_min_hotspot_load0.1_rep1
slimfly_7,dragonfly_min,hotspot,0.1,2,results/slimfly_7_dragonfly_min_hotspot_load0.1_rep2
slimfly_7,dragonfly_min,hotspot,0.1,3,results/slimfly_7_dragonfly_min_hotspot_load0.1_rep3
slimfly_7,dragonfly_min,hotspot,0.3,1,results/slimfly_7_dragonfly_min_hotspot_load0.3_rep1
slimfly_7,dragonfly_min,hotspot,0.3,2,results/slimfly_7_dragonfly_min_hotspot_load0.3_rep2
slimfly_7,dragonfly_min,hotspot,0.3,3,results/slimfly_7_dragonfly_min_hotspot_load0.3_rep3
slimfly_7,dragonfly_min,hotspot,0.5,1,results/slimfly_7_dragonfly_min_hotspot_load0.5_rep1
slimfly_7,dragonfly_min,hotspot,0.5,2,results/slimfly_7_dragonfly_min_hotspot_load0.5_rep2
slimfly_7,dragonfly_min,hotspot,0.5,3,results/slimfly_7_dragonfly_min_hotspot_load0.5_rep3
slimfly_7,dragonfly_min,hotspot,0.7,1,results/slimfly_7_dragonfly_min_hotspot_load0.7_rep1
slimfly_7,dragonfly_min,hotspot,0.7,2,results/slimfly_7_dragonfly_min_hotspot_load0.7_rep2
slimfly_7,dragonfly_min,hotspot,0.7,3,results/slimfly_7_dragonfly_min_hotspot_load0.7_rep3
slimfly_7,dragonfly_min,hotspot,0.9,1,results/slimfly_7_dragonfly_min_hotspot_load0.9_rep1
slimfly_7,dragonfly_min,hotspot,0.9,2,results/slimfly_7_dragonfly_min_hotspot_load0.9_rep2
slimfly_7,dragonfly_min,hotspot,0.9,3,results/slimfly_7_dragonfly_min_hotspot_load0.9_rep3
slimfly_7,dragonfly_min,bisection,0.1,1,results/slimfly_7_dragonfly_min_bisection_load0.1_rep1
slimfly_7,dragonfly_min,bisection,0.1,2,results/slimfly_7_dragonfly_min_bisection_load0.1_rep2
slimfly_7,dragonfly_min,bisection,0.1,3,results/slimfly_7_dragonfly_min_bisection_load0.1_rep3
slimfly_7,dragonfly_min,bisection,0.3,1,results/slimfly_7_dragonfly_min_bisection_load0.3_rep1
slimfly_7,dragonfly_min,bisection,0.3,2,results/slimfly_7_dragonfly_min_bisection_load0.3_rep2
slimfly_7,dragonfly_min,bisection,0.3,3,results/slimfly_7_dragonfly_min_bisection_load0.3_rep3
slimfly_7,dragonfly_min,bisection,0.5,1,results/slimfly_7_dragonfly_min_bisection_load0.5_rep1
slimfly_7,dragonfly_min,bisection,0.5,2,results/slimfly_7_dragonfly_min_bisection_load0.5_rep2
slimfly_7,dragonfly_min,bisection,0.5,3,results/slimfly_7_dragonfly_min_bisection_load0.5_rep3
slimfly_7,dragonfly_min,bisection,0.7,1,results/slimfly_7_dragonfly_min_bisection_load0.7_rep1
slimfly_7,dragonfly_min,bisection,0.7,2,results/slimfly_7_dragonfly_min_bisection_load0.7_rep2
slimfly_7,dragonfly_min,bisection,0.7,3,results/slimfly_7_dragonfly_min_bisection_load0.7_rep3
slimfly_7,dragonfly_min,bisection,0.9,1,results/slimfly_7_dragonfly_min_bisection_load0.9_rep1
slimfly_7,dragonfly_min,bisection,0.9,2,results/slimfly_7_dragonfly_min_bisection_load0.9_rep2
slimfly_7,dragonfly_min,bisection,0.9,3,results/slimfly_7_dragonfly_min_bisection_load0.9_rep3
slimfly_7,dragonfly_min,all2all,0.1,1,results/slimfly_7_dragonfly_min_all2all_load0.1_rep1
slimfly_7,dragonfly_min,all2all,0.1,2,results/slimfly_7_dragonfly_min_all2all_load0.1_rep2
slimfly_7,dragonfly_min,all2all,0.1,3,results/slimfly_7_dragonfly_min_all2all_load0.1_rep3
slimfly_7,dragonfly_min,all2all,0.3,1,results/slimfly_7_dragonfly_min_all2all_load0.3_rep1
slimfly_7,dragonfly_min,all2all,0.3,2,results/slimfly_7_dragonfly_min_all2all_load0.3_rep2
slimfly_7,dragonfly_min,all2all,0.3,3,results/slimfly_7_dragonfly_min_all2all_load0.3_rep3
slimfly_7,dragonfly_min,all2all,0.5,1,results/slimfly_7_dragonfly_min_all2all_load0.5_rep1
slimfly_7,dragonfly_min,all2all,0.5,2,results/slimfly_7_dragonfly_min_all2all_load0.5_rep2
slimfly_7,dragonfly_min,all2all,0.5,3,results/slimfly_7_dragonfly_min_all2all_load0.5_rep3
slimfly_7,dragonfly_min,all2all,0.7,1,results/slimfly_7_dragonfly_min_all2all_load0.7_rep1
slimfly_7,dragonfly_min,all2all,0.7,2,results/slimfly_7_dragonfly_min_all2all_load0.7_rep2
slimfly_7,dragonfly_min,all2all,0.7,3,results/slimfly_7_dragonfly_min_all2all_load0.7_rep3
slimfly_7,dragonfly_min,all2all,0.9,1,results/slimfly_7_dragonfly_min_all2all_load0.9_rep1
slimfly_7,dragonfly_min,all2all,0.9,2,results/slimfly_7_dragonfly_min_all2all_load0.9_rep2
slimfly_7,dragonfly_min,all2all,0.9,3,results/slimfly_7_dragonfly_min_all2all_load0.9_rep3
slimfly_7,dragonfly_min,bit_reversal,0.1,1,results/slimfly_7_dragonfly_min_bit_reversal_load0.1_rep1
slimfly_7,dragonfly_min,bit_reversal,0.1,2,results/slimfly_7_dragonfly_min_bit_reversal_load0.1_rep2
slimfly_7,dragonfly_min,bit_reversal,0.1,3,results/slimfly_7_dragonfly_min_bit_reversal_load0.1_rep3
slimfly_7,dragonfly_min,bit_reversal,0.3,1,results/slimfly_7_dragonfly_min_bit_reversal_load0.3_rep1
slimfly_7,dragonfly_min,bit_reversal,0.3,2,results/slimfly_7_dragonfly_min_bit_reversal_load0.3_rep2
slimfly_7,dragonfly_min,bit_reversal,0.3,3,results/slimfly_7_dragonfly_min_bit_reversal_load0.3_rep3
slimfly_7,dragonfly_min,bit_reversal,0.5,1,results/slimfly_7_dragonfly_min_bit_reversal_load0.5_rep1
slimfly_7,dragonfly_min,bit_reversal,0.5,2,results/slimfly_7_dragonfly_min_bit_reversal_load0.5_rep2
slimfly_7,dragonfly_min,bit_reversal,0.5,3,results/slimfly_7_dragonfly_min_bit_reversal_load0.5_rep3
slimfly_7,dragonfly_min,bit_reversal,0.7,1,results/slimfly_7_dragonfly_min_bit_reversal_load0.7_rep1
slimfly_7,dragonfly_min,bit_reversal,0.7,2,results/slimfly_7_dragonfly_min_bit_reversal_load0.7_rep2
slimfly_7,dragonfly_min,bit_reversal,0.7,3,results/slimfly_7_dragonfly_min_bit_reversal_load0.7_rep3
slimfly_7,dragonfly_min,bit_reversal,0.9,1,results/slimfly_7_dragonfly_min_bit_reversal_load0.9_rep1
slimfly_7,dragonfly_min,bit_reversal,0.9,2,results/slimfly_7_dragonfly_min_bit_reversal_load0.9_rep2
slimfly_7,dragonfly_min,bit_reversal,0.9,3,results/slimfly_7_dragonfly_min_bit_reversal_load0.9_rep3
